timestamps,TP9,AF7,AF8,TP10,Right AUX
1606398309.680,-34.668,-31.738,-34.668,-23.438,0.000
1606398309.684,-41.504,-34.180,-30.762,-31.738,0.000
1606398309.688,-35.156,-38.574,-37.598,-30.762,0.000
1606398309.692,-24.414,-44.434,-47.852,-24.902,0.000
1606398309.696,-28.809,-34.668,-41.016,-30.273,0.000
1606398309.700,-42.480,-38.574,-26.855,-40.039,0.000
1606398309.704,-55.176,-36.133,-22.949,-45.898,0.000
1606398309.708,-61.523,-20.996,-26.855,-57.617,0.000
1606398309.711,-51.270,-23.438,-27.344,-45.410,0.000
1606398309.715,-39.551,-29.785,-41.992,-26.855,0.000
1606398309.719,-42.480,-28.809,-42.969,-34.180,0.000
1606398309.723,-50.293,-31.738,-17.090,-41.992,0.000
1606398309.727,-53.711,-40.039,-12.695,-44.434,0.000
1606398309.731,-50.781,-34.668,-20.508,-38.086,0.000
1606398309.735,-44.922,-22.949,-16.602,-32.227,0.000
1606398309.739,-46.875,-24.902,-17.090,-31.738,0.000
1606398309.743,-50.781,-33.203,-26.367,-30.762,0.000
1606398309.747,-44.922,-37.109,-34.180,-28.809,0.000
1606398309.751,-36.621,-35.645,-42.480,-23.926,0.000
1606398309.754,-36.133,-28.320,-41.504,-22.949,0.000
1606398309.758,-33.691,-36.133,-22.949,-19.043,0.000
1606398309.762,-34.668,-36.621,-23.438,-20.508,0.000
1606398309.766,-32.227,-30.762,-28.809,-27.344,0.000
1606398309.770,-21.973,-29.785,-23.926,-19.043,0.000
1606398309.774,-15.625,-22.949,-32.227,-11.230,0.000
1606398309.778,-20.996,-21.973,-46.875,-17.090,0.000
1606398309.782,-25.391,-20.508,-41.992,-24.414,0.000
1606398309.786,-14.648,-24.902,-40.527,-23.438,0.000
1606398309.790,0.977,-30.762,-41.016,-9.277,0.000
1606398309.793,0.488,-30.273,-22.461,1.465,0.000
1606398309.797,-19.531,-29.785,-15.137,-17.578,0.000
1606398309.801,-31.250,-35.156,-17.090,-35.156,0.000
1606398309.805,-31.250,-41.504,-21.484,-27.344,0.000
1606398309.809,-26.855,-35.156,-27.344,-21.973,0.000
1606398309.813,-19.043,-30.273,-41.992,-13.672,0.000
