start,duration,value
2020-10-23T22:03:00+02:00,"[60,60]","[66,65]"
2020-10-23T22:08:00+02:00,"[60,60]","[65,60]"
2020-10-23T22:11:00+02:00,[60],[61]
2020-10-23T22:16:00+02:00,[60],[56]
2020-10-23T22:18:00+02:00,[60],[67]
2020-10-23T22:20:00+02:00,"[60,60]","[50,63]"
2020-10-23T22:23:00+02:00,[60],[66]
2020-10-23T22:26:00+02:00,"[60,60,60,60,60,60,60]","[73,68,69,76,60,63,55]"
2020-10-23T22:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[64,69,57,61,70,59,68,69,65,65,66,64,66,72,67,67,68]"
2020-10-23T23:07:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[70,72,68,69,72,66,67,70,64,67,65,67,71,73,71,69,66,66,61,61,60,59,60,60,57,54,59,59,60,62,62,62,62,63,63,62,62,62,64,64,63,65,65,64,64,64,64,64,66,64,71,70,68,70,70,72,70,71,70,69,67,67,67,66,67,68,68,67,68,67,68,66,66,64,66,64,64,64,65,65,66,66,66,66,66,66,66,64,63,64,64,66,65,63,64,62,64,61,67,67,67,68,67,66,66,69,67,69,67,70,69,69,70,68,66,67,63,64,62,61,62,61,62,62,62,61,61,59,60,60,60,60,60,61,60,61,61,62,62,60,61,60,60,60,60,62]"
