start,duration,value
2020-10-23T22:03:00+02:00,"[60,60]","[11,22]"
2020-10-23T22:08:00+02:00,"[60,60]","[17,15]"
2020-10-23T22:11:00+02:00,[60],[18]
2020-10-23T22:16:00+02:00,[60],[10]
2020-10-23T22:18:00+02:00,[60],[13]
2020-10-23T22:20:00+02:00,"[60,60]","[21,19]"
2020-10-23T22:23:00+02:00,[60],[20]
2020-10-23T22:26:00+02:00,"[60,60,60,60,60,60,60]","[9,15,12,11,12,17,17]"
2020-10-23T22:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[13,16,18,17,15,15,11,11,12,16,19,18,15,10,11,11,15]"
2020-10-23T23:07:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[17,18,19,20,20,13,12,17,16,14,17,18,17,18,15,17,16,17,17,17,17,14,17,16,17,15,16,17,17,17,17,17,17,17,17,17,18,17,18,18,17,18,18,18,18,18,18,18,18,18,15,17,17,17,18,18,18,19,18,18,18,17,17,17,18,18,18,18,18,18,19,17,18,17,16,17,17,18,18,17,18,17,18,18,19,19,17,19,19,18,19,19,17,17,18,18,18,19,18,17,19,18,18,18,19,19,19,19,19,19,19,19,20,20,19,19,18,19,19,19,18,19,19,19,18,19,18,18,18,18,18,18,18,18,18,19,18,17,16,17,17,17,18,17,17,17]"
2020-10-24T01:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,17,18,17,18,18,18,18,17,18,18,17,17,17,17,18,18,17,17,18,18,17,17,17,18,17,18,17,18,18,18,18,19,17,18,18,18,20,19,19,17,17,19,19,19,16,17,18,17,16,17,16,17,17,17,18,18,15,18,18,18,18,18,18,17,17,17,17,17,17,18,17,17,18,22,16,17,17,17,17,18,17,17,17,18,17,18,18,18,17,17,17,18,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,17,18,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,15,16,17,17,19,18,17,19,18,19,18,17,17,18,17,17,17,16,19,17,15,17,17,17,18,22,17,17,18,20,20,19,20,20,16,17,17,17,18,17,17,17,17,17,18,18,19]"
2020-10-24T04:33:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[19,19,19,19,20,19,19,19,18,19,19,18,18,19,19,19,19,19,18,17,17,16,18,18,17,19,17,18,18,18,18,19,18,19,16,18,18,18,17,18,17,17,18,17,18,18,18,17,17,17,17,17,17,18,18,18,18,16,18,17,18,17,18,19,20,19,20,19,19,17,17,17,18,18,18,17,18,16,18,23,20,20,17,19,25,20,22,19,19,18,19,18,18,17,20,19,17,18,18,17,20,18,18,18,18,18,18,17,19,17,19,18,18,18,17,17,18,18,18,17,15,17,17,18,17,17,19,17,18,18,18,18,18,18,18,18,17,17,18,18,17,18,17,17,16,17,16,17,15,16,16,16,15,16,19,15,16,16,17,18,17,17,16,20,17,18,17,17,16,17,18,17,16,15,19,17,18,17,18,17]"
